"hj_id","hj_horaire","hj_jour","hj_p1_debut","hj_p1_fin","hj_p2_debut","hj_p2_fin"
"8","3","2","900","1300","1500","1900"
"9","3","3","900","1300","1500","1900"
"10","3","4","900","1900","0","0"
"11","3","5","900","1900","0","0"
"12","5","2","1000","1900","0","0"
"13","5","3","1000","1900","0","0"
"14","5","4","1000","1900","0","0"
"15","5","5","1000","1900","0","0"
"16","5","6","1000","1900","0","0"
"17","6","1","1400","1900","0","0"
"18","6","2","900","1230","1400","1900"
"19","6","3","900","1230","1400","1900"
"20","6","4","900","1230","1400","1900"
"21","6","5","900","1900","0","0"
"22","7","2","830","1230","1500","1900"
"23","7","3","830","1230","1500","1900"
"24","7","4","830","1230","1500","1900"
"25","7","5","830","1230","1500","1900"
"26","7","6","900","1230","0","0"
"27","8","1","830","1230","1500","1900"
"28","8","4","830","1230","1500","1900"
"29","8","2","830","1230","0","0"
"30","8","5","830","1230","0","0"
"31","9","2","900","1230","1500","1900"
"32","9","3","900","1230","1500","1900"
"33","9","4","900","1230","1500","1900"
"34","9","5","900","1700","0","0"
"35","9","6","900","1230","0","0"
"36","10","2","900","1230","0","0"
"37","10","3","900","1230","0","0"
"38","10","4","900","1230","1500","1900"
"39","10","5","900","1230","0","0"
"40","11","1","900","1900","0","0"
"41","11","2","900","1900","0","0"
"42","11","3","900","1900","0","0"
"43","11","4","900","1900","0","0"
"44","11","5","900","1900","0","0"
"45","12","0","900","1230","1430","1900"
"46","12","2","900","1230","1430","1900"
"47","12","3","900","1230","1430","1900"
"48","12","4","900","1230","1430","1900"
"49","12","5","900","1900","0","0"
"50","12","6","900","1230","0","0"
"51","13","1","830","1230","1500","1900"
"52","13","2","830","1230","1500","1900"
"53","13","3","830","1230","1500","1900"
"54","13","4","830","1230","1500","1900"
"55","13","5","830","1900","0","0"
"56","14","2","900","1300","1500","1900"
"57","14","3","900","1300","1500","1900"
"58","14","4","900","1300","1500","1900"
"59","14","5","900","1300","1500","1900"
"60","14","6","900","1300","1500","1800"
"61","15","2","900","1300","1500","1900"
"62","15","3","900","1300","1500","1900"
"63","15","4","900","1900","0","0"
"64","15","5","900","1900","0","0"
"65","16","2","830","1900","0","0"
"66","16","3","830","1900","0","0"
"67","16","4","830","1900","0","0"
"68","16","5","830","1800","0","0"
"69","17","1","1000","1300","1500","1900"
"70","17","2","1000","1300","1500","1900"
"71","17","3","1000","1300","1500","1900"
"72","17","4","1000","1300","1500","1900"
"73","17","5","1000","1300","1500","1900"
"74","18","0","900","1200","1430","1900"
"75","18","1","900","1200","1430","1900"
"76","18","2","900","1200","1430","1900"
"77","18","3","900","1200","1430","1900"
"78","18","4","900","1200","1430","1900"
"79","18","5","900","1830","0","0"
"80","19","0","900","1230","0","0"
"81","19","4","900","1230","0","0"
"82","19","6","900","1230","0","0"
"83","19","5","900","1300","1500","1900"
"84","20","2","900","1230","1430","1900"
"85","20","3","900","1230","1430","1900"
"86","20","4","900","1230","1430","1900"
"87","20","5","900","1230","1430","1800"
"88","21","1","800","1300","0","0"
"89","21","4","645","1300","0","0"
"90","21","5","800","1300","0","0"
"91","22","1","1000","1330","1600","1900"
"92","22","2","1000","1230","1600","1900"
"93","22","3","1000","1330","1600","1900"
