"mr_id","mr_magasin","mr_rayon"
"11","6","9"
"12","6","17"
"13","6","15"
"14","6","12"
"15","6","11"
"16","6","20"
"17","6","13"
"18","7","19"
"19","7","14"
"20","7","8"
"21","7","18"
"22","7","21"
"23","7","9"
"24","7","17"
"25","7","15"
"26","7","16"
"27","7","12"
"28","7","11"
"29","7","20"
"30","7","13"
"31","8","19"
"32","8","14"
"33","8","8"
"34","8","18"
"35","8","21"
"36","8","9"
"37","8","17"
"38","8","15"
"39","8","12"
"40","8","11"
"41","8","20"
"42","8","13"
"43","9","19"
"44","9","14"
"45","9","8"
"46","9","18"
"47","9","21"
"48","9","9"
"49","9","17"
"50","9","15"
"51","9","16"
"52","9","12"
"53","9","11"
"54","9","20"
"55","9","13"
"56","10","19"
"57","10","14"
"58","10","8"
"59","10","18"
"60","10","21"
"61","10","9"
"62","10","17"
"63","10","15"
"64","10","16"
"65","10","10"
"66","10","12"
"67","10","11"
"68","10","20"
"69","10","13"
"70","11","19"
"71","11","14"
"72","11","8"
"73","11","21"
"74","11","9"
"75","11","17"
"76","11","15"
"77","11","16"
"78","11","12"
"79","11","11"
"80","11","20"
"81","11","13"
"82","11","18"
"83","12","19"
"84","12","14"
"85","12","8"
"86","12","18"
"87","12","21"
"88","12","9"
"89","12","17"
"90","12","15"
"91","12","16"
"92","12","12"
"93","12","11"
"94","12","20"
"95","12","13"
"96","12","10"
"97","13","19"
"98","13","14"
"99","13","8"
"100","13","18"
"101","13","21"
"102","13","9"
"103","13","17"
"104","13","15"
"105","13","12"
"106","13","11"
"107","13","20"
"108","13","13"
"109","14","19"
"110","14","14"
"111","14","8"
"112","14","18"
"113","14","18"
"114","14","21"
"115","14","9"
"116","14","17"
"117","14","15"
"118","14","16"
"119","14","10"
"120","14","12"
"121","14","11"
"122","14","20"
"123","14","13"
"124","15","19"
"125","15","14"
"126","15","8"
"127","15","18"
"128","15","21"
"129","15","9"
"130","15","17"
"131","15","15"
"132","15","16"
"133","15","10"
"134","15","12"
"135","15","11"
"136","15","20"
"137","15","13"
"138","16","19"
"139","16","14"
"140","16","8"
"141","16","18"
"143","16","21"
"144","16","9"
"145","16","17"
"146","16","15"
"147","16","16"
"148","16","10"
"149","16","12"
"150","16","11"
"151","16","20"
"152","16","13"
"153","5","19"
"154","5","14"
"155","5","8"
"156","5","18"
"157","5","21"
"158","5","9"
"159","5","17"
"160","5","15"
"161","5","16"
"162","5","10"
"163","5","12"
"164","5","11"
"165","5","20"
"166","5","13"
"167","18","19"
"168","18","14"
"169","18","8"
"170","18","14"
"171","18","21"
"172","18","9"
"173","18","17"
"174","18","15"
"175","18","11"
"176","18","20"
"177","18","13"
"178","30","19"
"179","30","14"
"180","30","8"
"181","30","18"
"182","30","21"
"183","30","9"
"184","30","17"
"185","30","15"
"186","30","16"
"187","30","10"
"188","30","12"
"189","30","11"
"190","30","20"
"191","30","13"
"192","31","19"
"193","31","14"
"194","31","8"
"195","31","21"
"196","31","9"
"197","31","17"
"198","31","15"
"199","31","16"
"200","31","12"
"201","31","11"
"202","31","13"
"203","32","19"
"204","32","8"
"205","32","18"
"206","32","21"
"207","32","9"
"208","32","17"
"209","32","13"
"210","32","16"
"211","33","19"
"212","33","14"
"213","33","8"
"214","33","21"
"215","33","9"
"216","33","17"
"217","33","15"
"218","33","12"
"219","33","11"
"220","33","13"
"221","34","19"
"222","34","14"
"223","34","8"
"224","34","12"
"225","34","20"
"226","35","19"
"227","35","14"
"228","35","8"
"229","35","18"
"230","35","21"
"231","35","9"
"232","35","17"
"233","35","15"
"234","35","16"
"235","35","12"
"236","35","11"
"237","35","20"
"238","35","13"
"239","36","19"
"240","36","14"
"241","36","8"
"242","36","18"
"243","36","21"
"244","36","9"
"245","36","17"
"246","36","15"
"247","36","16"
"248","36","12"
"249","36","11"
"250","36","20"
"251","36","13"
"252","37","19"
"253","37","14"
"254","37","8"
"255","37","18"
"256","37","21"
"257","37","9"
"258","37","17"
"259","37","15"
"260","37","16"
"261","37","12"
"262","37","11"
"263","37","20"
"264","37","13"
"289","40","19"
"290","40","14"
"291","40","8"
"292","40","18"
"293","40","21"
"294","40","9"
"295","40","17"
"296","40","15"
"297","40","16"
"298","40","10"
"299","40","12"
"300","40","11"
"301","40","20"
"302","40","13"
"303","41","19"
"304","41","14"
"305","41","8"
"306","41","21"
"307","41","9"
"308","41","17"
"309","41","15"
"310","41","16"
"311","41","12"
"312","41","11"
"313","41","20"
"314","41","13"
"315","42","19"
"316","42","14"
"317","42","8"
"319","42","18"
"320","42","21"
"321","42","9"
"322","42","17"
"323","42","15"
"324","42","12"
"325","42","20"
"326","42","13"
"327","43","19"
"328","43","14"
"329","43","8"
"330","43","18"
"331","43","21"
"332","43","9"
"333","43","17"
"334","43","15"
"335","43","16"
"336","43","10"
"337","43","12"
"338","43","11"
"339","43","20"
"340","43","13"
"341","44","19"
"342","44","14"
"343","44","8"
"344","44","21"
"345","44","9"
"346","44","17"
"347","44","15"
"348","44","12"
"349","44","11"
"350","44","20"
"351","44","13"
"352","45","19"
"353","45","14"
"354","45","8"
"355","45","18"
"356","45","21"
"357","45","9"
"358","45","17"
"359","45","15"
"360","45","16"
"361","45","12"
"362","45","11"
"363","45","20"
"364","45","13"
"365","46","19"
"366","46","14"
"367","46","8"
"368","46","18"
"369","46","21"
"370","46","9"
"371","46","17"
"372","46","15"
"373","46","16"
"374","46","12"
"375","46","11"
"376","46","20"
"377","46","13"
"378","47","19"
"379","47","14"
"380","47","8"
"381","47","18"
"382","47","21"
"383","47","9"
"384","47","17"
"385","47","15"
"386","47","16"
"387","47","12"
"388","47","11"
"389","47","20"
"390","47","13"
"391","48","19"
"392","48","14"
"393","48","8"
"394","48","18"
"395","48","21"
"396","48","9"
"397","48","17"
"398","48","15"
"399","48","16"
"400","48","10"
"401","48","12"
"402","48","11"
"403","48","20"
"404","48","13"
"405","49","19"
"406","49","14"
"407","49","8"
"408","49","18"
"409","49","21"
"410","49","9"
"411","49","17"
"412","49","15"
"413","49","16"
"414","49","10"
"415","49","12"
"416","49","11"
"417","49","20"
"418","49","13"
"419","50","19"
"420","50","14"
"421","50","8"
"422","50","18"
"423","50","21"
"424","50","9"
"425","50","17"
"426","50","15"
"427","50","16"
"428","50","12"
"429","50","11"
"430","50","20"
"431","50","13"
"432","51","19"
"433","51","14"
"434","51","8"
"435","51","18"
"436","51","21"
"437","51","9"
"438","51","17"
"439","51","15"
"440","51","16"
"441","51","12"
"442","51","11"
"443","51","20"
"444","51","13"
"445","52","8"
"446","52","9"
"447","52","17"
"448","52","15"
"449","52","16"
"450","52","11"
"451","52","20"
"452","52","13"
"466","54","19"
"467","54","14"
"468","54","8"
"469","54","18"
"470","54","21"
"471","54","9"
"472","54","17"
"473","54","15"
"474","54","16"
"475","54","12"
"476","54","11"
"477","54","20"
"478","54","13"
"479","55","19"
"480","55","14"
"481","55","8"
"482","55","18"
"483","55","21"
"484","55","9"
"485","55","17"
"486","55","15"
"487","55","16"
"488","55","12"
"489","55","11"
"490","55","20"
"491","55","13"
"492","56","19"
"493","56","14"
"494","56","8"
"495","56","18"
"496","56","21"
"497","56","9"
"498","56","17"
"499","56","15"
"500","56","16"
"501","56","10"
"502","56","12"
"503","56","12"
"504","56","11"
"505","56","20"
"506","56","13"
"507","57","19"
"508","57","14"
"509","57","8"
"510","57","18"
"511","57","21"
"512","57","9"
"513","57","17"
"514","57","15"
"515","57","16"
"516","57","12"
"517","57","11"
"518","57","20"
"519","57","13"
"520","58","19"
"521","58","14"
"522","58","8"
"523","58","18"
"524","58","21"
"525","58","9"
"526","58","17"
"527","58","15"
"528","58","16"
"529","58","12"
"530","58","11"
"531","58","20"
"532","58","13"
"533","59","19"
"534","59","14"
"535","59","8"
"536","59","18"
"537","59","21"
"538","59","9"
"539","59","17"
"540","59","15"
"541","59","16"
"542","59","12"
"543","59","11"
"544","59","20"
"545","59","13"
"546","60","19"
"547","60","14"
"548","60","8"
"549","60","18"
"550","60","21"
"551","60","9"
"552","60","17"
"553","60","15"
"554","60","16"
"555","60","10"
"556","60","12"
"557","60","11"
"558","60","20"
"559","60","13"
"560","61","19"
"561","61","14"
"562","61","18"
"563","61","21"
"564","61","9"
"565","61","17"
"566","61","16"
"567","61","10"
"568","61","12"
"569","61","11"
"570","61","20"
"571","62","19"
"572","62","14"
"573","62","8"
"574","62","18"
"575","62","21"
"576","62","9"
"577","62","17"
"578","62","15"
"579","62","16"
"580","62","12"
"581","62","11"
"582","62","20"
"583","62","13"
"584","63","19"
"585","63","14"
"586","63","12"
"587","63","11"
"588","63","20"
"589","63","17"
"590","64","19"
"591","64","14"
"592","64","8"
"593","64","18"
"594","64","21"
"595","64","9"
"596","64","17"
"597","64","15"
"598","64","16"
"599","64","10"
"600","64","12"
"601","64","11"
"602","64","20"
"603","64","13"
"604","65","19"
"605","65","14"
"606","65","21"
"607","65","17"
"608","65","12"
"609","65","11"
"610","65","20"
"611","66","19"
"612","66","14"
"613","66","8"
"614","66","18"
"615","66","21"
"616","66","9"
"617","66","17"
"618","66","15"
"619","66","16"
"620","66","12"
"621","66","11"
"622","66","20"
"623","66","13"
"624","69","19"
"625","69","14"
"626","69","8"
"627","69","18"
"628","69","21"
"629","69","9"
"630","69","17"
"631","69","15"
"632","69","16"
"633","69","12"
"634","69","11"
"635","69","20"
"636","69","13"
"637","70","19"
"638","70","14"
"639","70","8"
"640","70","21"
"641","70","9"
"642","70","17"
"643","70","15"
"644","70","12"
"645","70","11"
"646","70","20"
"647","70","13"
"648","71","19"
"649","71","14"
"650","71","8"
"651","71","18"
"652","71","21"
"653","71","9"
"654","71","17"
"655","71","15"
"656","71","16"
"657","71","12"
"658","71","11"
"659","71","20"
"660","71","13"
"661","72","19"
"662","72","14"
"663","72","8"
"664","72","18"
"665","72","21"
"666","72","9"
"667","72","17"
"668","72","15"
"669","72","16"
"670","72","12"
"671","72","11"
"672","72","20"
"673","72","13"
"688","74","19"
"689","74","14"
"690","74","8"
"691","74","18"
"692","74","21"
"693","74","9"
"694","74","17"
"695","74","15"
"696","74","11"
"697","74","20"
"698","74","13"
"699","75","19"
"700","75","14"
"701","75","8"
"702","75","18"
"703","75","21"
"704","75","9"
"705","75","17"
"706","75","15"
"707","75","12"
"708","75","11"
"709","75","20"
"710","75","13"
"711","76","19"
"712","76","14"
"713","76","8"
"714","76","18"
"715","76","21"
"716","76","9"
"717","76","17"
"718","76","15"
"719","76","16"
"720","76","11"
"721","76","20"
"722","76","13"
"723","77","19"
"724","77","14"
"725","77","8"
"726","77","18"
"727","77","21"
"728","77","9"
"729","77","17"
"730","77","15"
"731","77","16"
"732","77","12"
"733","77","11"
"734","77","20"
"735","77","13"
"736","79","19"
"737","79","14"
"738","79","8"
"739","79","18"
"740","79","21"
"741","79","9"
"742","79","17"
"743","79","15"
"744","79","16"
"745","79","12"
"746","79","11"
"747","79","20"
"748","79","13"
"749","80","19"
"750","80","14"
"751","80","8"
"752","80","18"
"753","80","21"
"754","80","9"
"755","80","17"
"756","80","15"
"757","80","16"
"758","80","12"
"759","80","11"
"760","80","20"
"761","80","13"
"763","81","14"
"764","81","8"
"765","81","18"
"766","81","21"
"767","81","9"
"768","81","17"
"769","81","15"
"770","81","16"
"771","81","12"
"772","81","11"
"773","81","20"
"774","81","13"
"775","82","19"
"776","82","14"
"777","82","8"
"778","82","18"
"779","82","21"
"780","82","9"
"781","82","17"
"782","82","15"
"783","82","12"
"784","82","11"
"785","82","20"
"786","82","13"
"787","83","19"
"788","83","14"
"789","83","8"
"790","83","18"
"791","83","21"
"792","83","9"
"793","83","17"
"794","83","15"
"795","83","16"
"796","83","10"
"797","83","12"
"798","83","11"
"799","83","20"
"800","83","13"
"801","84","19"
"802","84","14"
"803","84","8"
"804","84","18"
"805","84","21"
"806","84","9"
"807","84","17"
"808","84","15"
"809","84","16"
"810","84","12"
"811","84","11"
"812","84","20"
"813","84","13"
"815","85","14"
"816","85","8"
"817","85","18"
"818","85","21"
"819","85","9"
"820","85","17"
"821","85","15"
"822","85","16"
"823","85","10"
"824","85","12"
"825","85","20"
"826","85","13"
"827","86","19"
"828","86","14"
"829","86","8"
"830","86","18"
"831","86","21"
"832","86","9"
"833","86","17"
"834","86","15"
"835","86","16"
"836","86","10"
"837","86","12"
"838","86","11"
"839","86","13"
"840","87","19"
"841","87","14"
"842","87","8"
"843","87","18"
"844","87","21"
"845","87","9"
"846","87","17"
"847","87","15"
"848","87","16"
"849","87","12"
"850","87","11"
"851","87","20"
"852","87","13"
"853","88","19"
"854","88","14"
"855","88","8"
"856","88","18"
"857","88","21"
"858","88","9"
"859","88","17"
"860","88","15"
"861","88","16"
"862","88","10"
"863","88","12"
"864","88","11"
"865","88","20"
"866","88","13"
"867","89","19"
"868","89","14"
"869","89","8"
"870","89","18"
"871","89","21"
"872","89","9"
"873","89","17"
"874","89","15"
"875","89","16"
"876","89","10"
"877","89","12"
"878","89","11"
"879","89","20"
"880","89","13"
"881","90","19"
"882","90","14"
"883","90","8"
"884","90","21"
"885","90","9"
"886","90","17"
"887","90","15"
"888","90","16"
"889","90","12"
"890","90","11"
"891","90","20"
"892","90","13"
"893","91","19"
"894","91","14"
"895","91","8"
"896","91","18"
"897","91","21"
"898","91","9"
"899","91","17"
"900","91","15"
"901","91","16"
"902","91","12"
"903","91","11"
"904","91","20"
"905","91","13"
"906","92","19"
