"pic_id","pic_cat","pic_libelle"
"1","1","Entr&eacute;e"
"2","1","Plat"
"3","1","Dessert"
"4","1","Soupe"
"5","1","Salade-repas"
"6","1","Ap&eacute;ritif"
"7","1","Garniture"
"8","1","Encas"
"9","2","Pour les enfants"
"10","2","Pour mes amis"
"11","2","Pour ma ligne"
"12","2","Pour les press&eacute;s"
"13","2","Pour le barbecue"
"14","2","Pour faire simple"
"15","2","Pour faire chic"
"16","3","Sans viande"
"17","3","Avec viande"
"18","3","Sans porc"
"22","3","Avec porc"
"23","2","Pour ma famille"
"24","2","Pour faire exotique"
"25","2","Pour faire original"
"26","2","Pour faire classique"
"27","2","Pour faire facile"
"28","2","Pour faire rapide"
